font_combo_id,charPr_ids,runs,hangul,latin,hanja,japanese,other,symbol,user
1,"0,68",3,HGJGT.HFT,ENJGT.HFT,HJJGT.HFT,JPJGT.HFT,FLSMJ.HFT,SPJGT.HFT,USER.HFT
2,"1,19,20",4,TEDNRHG.HFT,TEDNREN.HFT,HCHJSDNR.HFT,TEJGTJP.HFT,FLSMJ.HFT,HCSPDNR.HFT,USER.HFT
3,"2,25",3,TEJGTHG.HFT,TEJGTEN.HFT,TEJGTHJ.HFT,TEJGTJP.HFT,FLSMJ.HFT,SPJGT.HFT,USER.HFT
4,"5,11,17,42,49,59,63,72,82,84,85",116,TEJMJHG.HFT,ENSMJ.HFT,TEJMJHJ.HFT,TESMJJP.HFT,FLSMJ.HFT,SPSMJ.HFT,USER.HFT
5,"6,93",2,TEJMJHG.HFT,TEJMJEN.HFT,TEJMJHJ.HFT,TESMJJP.HFT,FLSMJ.HFT,SPSMJ.HFT,USER.HFT
6,"7,8,9,12,13,14,15,23,24,29,32,33,34,47,56,60,61,64,65,67,70,71,74,75,76,77,78,79,80,81,83,86,88,89,90,91,92,94,95,99,100,101,102,103,104,105,106,107",1159,TEJMJHG.HFT,ENSMJ.HFT,TEJMJHJ.HFT,JPSMJ.HFT,FLSMJ.HFT,SPSMJ.HFT,USER.HFT
7,"16,73,87",23,TETGTHG.HFT,TETGTEN.HFT,TETGTHJ.HFT,TETGTJP.HFT,FLSMJ.HFT,TETGRSP.HFT,USER.HFT
8,18,1,HGGMJ.HFT,ENGMJ.HFT,TEGMJHJ.HFT,TEGMJJP.HFT,FLSMJ.HFT,TEGMJSP.HFT,USER.HFT
9,"21,48,54,55",8,TEGMJHG.HFT,TEGMJEN.HFT,TEGMJHJ.HFT,TEGMJJP.HFT,FLSMJ.HFT,TEGMJSP.HFT,USER.HFT
10,22,22,HCHGTGT.HFT,HCENTGT.HFT,HCHJTGT.HFT,HCJPTGT.HFT,FLSMJ.HFT,HCSPTGT.HFT,USER.HFT
11,"46,51,52,53,57,58",9,TESGRHG.HFT,TESGREN.HFT,TEJGTHJ.HFT,TEJGTJP.HFT,FLSMJ.HFT,HCSPSGRP.HFT,USER.HFT
12,50,2,TEGNSHG.HFT,TEGNSEN.HFT,TEGNSHJ.HFT,TETMJJP.HFT,FLSMJ.HFT,HCSPGS.HFT,USER.HFT
13,"96,97,98",16,TEJGTHG.HFT,ENSMJ.HFT,TEJMJHJ.HFT,JPSMJ.HFT,FLSMJ.HFT,SPSMJ.HFT,USER.HFT
