# SHA256  SIZE(bytes)  FILE
8babed6897faefa50ab9aaa21881bfe4f0ed0af8295b346e3a3b170532758e08       29530  ENGMJ.HFT
067cf9d952613a01de01290080016b1b8ffecb7c077e430d0f8c3aa2a71f0dd0       74218  ENJGT.HFT
1fd68a78e75c3214e422f116cd86f20e601fc5f577b223817ae8555a3304ec1c      107647  ENSMJ.HFT
90f1037d5200087ed92c244951072ff643737c8f97562aa73e11872b0b0f9827       28508  FLSMJ.HFT
e64f33c3587921a15ca7a10cdbe0fe99579c9bcbefa331cd1d7cc6436c8a3b86        7712  HCENTGT.HFT
dd758e6c6dc5b5d8bbdb5d71a8fbb6b805169d3a4f70119efa107fbeffd2d451      414478  HCHGTGT.HFT
b6d2f29b9e29c05d8b293e2bad3db3db07be09e51ebd057e1d6833149e3b7eeb     1893894  HCHJSDNR.HFT
49ec9b19cfbe29608848bad3d4353926995bdbc8e9572463e8c77aeb6b3fcb61     1362852  HCHJTGT.HFT
6ce196e5e5e7ad5ff22a2757151a5387b27a34d7c6e695293338c1f06fa35908       28547  HCJPTGT.HFT
9ffc36137ec174b82981c3318220dedc19ede8ab52d5711701047416c1f97b85      120382  HCSPDNR.HFT
d8c378434c32c2bb89a10af920260997a49946987aa1c346803da3b8f0a5ea8a      131324  HCSPGS.HFT
40fd5f56be1e6bdbb13d451ec94995a6558f0ccc749dde9f6e94680597e235b5      114553  HCSPSGRP.HFT
0ba911ccafa5db0e100c31c6ce70e8660d1d5300dedd528e81d07949c4d969aa      108607  HCSPTGT.HFT
7531c7dc1b5abf309ebdc9ae78d28dda4432996f37d31c461605bd1482607c31      701244  HGGMJ.HFT
0b270e27df3889727dd70b4a62fb61c4379c8739b7e4a3b2f886bf3eb7e71568      347156  HGJGT.HFT
33b37f32a63347bbb241cb6c50760f9be740010e9e42ba551a5182988aeeb20c     1051894  HGOLD.HFT
99681fe18030c8c6ed73aadd096393c7f583b298b37c060473acea5788c1645f     1357654  HJJGT.HFT
276a276bc154346c92e460dbe86ae479c92f629cd4ee9b680ac4268c6b9a771e       21176  JPJGT.HFT
fb805dffa5d9cc150b7ec10f670e15fc9d552cfc0db7311d3e77cbb8ea7bffe3       57285  JPSMJ.HFT
8c33c27f1c301fed311a7c18a24abd0a2eb07cfc02c0e2b04e186197510af908       85292  SPJGT.HFT
7937877f3bbebd97159e6be6e2def84ec2ead2f65d510e61721a1aab4087b0c1      180333  SPSMJ.HFT
1978abc1e7c6b310e78f527758f063730d35f9f0fc1270d01420b112a75413fb       10067  TEDNREN.HFT
362eb9d791c95f1d98f7270e7d157b2b66acc863570bcbea8a861a71d8b16682      677109  TEDNRHG.HFT
4193ccfcc9afc22880ea7e344a8b3bf261592b89f9238f643f182e89ef9d6481       11457  TEGMJEN.HFT
a0ce67eceb8aaf9b79bc09af96e7ec1ec9e61dc96b56ab4839e33f089b7fb8b4      902388  TEGMJHG.HFT
656417995e297918000057aa69cb8582399118599e6adf834ec9c8a8f6dd162b     2156480  TEGMJHJ.HFT
38d713a17e3acf9e705b340b1d5b27ff73b54b3a4dca81eccab7a4c1d02ad9db       44221  TEGMJJP.HFT
944c5643f5b8a2f9d2b95aa020fd5fc53d12714ea28b38b3602dd46a6b2548d2      129120  TEGMJSP.HFT
a9bfa7a3f60e62b981de3450562638ea7d0c20b9b9c06e6f3557d00b01fea89b       13973  TEGNSEN.HFT
de85fea0d41fbe19d9b4af5998d9830576033c890c9cb831ead0aac78e72e383      963648  TEGNSHG.HFT
70817ceca32ead715f841f7b6b08b3f9489286ec6558a1833e7031a008e9788c     5211095  TEGNSHJ.HFT
c64ce2f160f3de179754fa8027f214204ae56b07fdfc354f6114a1630f5b7a7a        8601  TEJGTEN.HFT
c0849d28b602ddb6834825d6917042804532a76460929692dca1dc5b176999a3      571354  TEJGTHG.HFT
ed321ae25b1349bbe6479e41fe9692ad348c2748a188216e5cde8b42f33a80e5     1999720  TEJGTHJ.HFT
50eaa94b170d52e25c9373556aaa3cdc22501acaa703792ae3466d12e7cb945f       23255  TEJGTJP.HFT
7b765c231bf482b091f6ffc55ec5b323ad35c0b1de0329e02b9a8ae2c6000a43       11325  TEJMJEN.HFT
2fb539af2186ca1a112b90f1ab0aa89c84f058d35f865064bd91fe2f1ccc3c50      991511  TEJMJHG.HFT
e96cb3601b56ad1bb7015a8ecd9877d1e510cbb26c9fa1abefb1e03c8966d76b     2992483  TEJMJHJ.HFT
505fccfbf0eb5cafe3be0c9b7b954489c438c6143fdec56f2ce706831afd0c77        9342  TESGREN.HFT
1650edab21483839129e919602505653717b2c75c37fbbe1ea53fa71dc39ff82      415447  TESGRHG.HFT
